"Make","Model","Vehicle Class","Engine Size(L)","Cylinders","Transmission","Fuel Type","Fuel Consumption City (L/100 km)","Fuel Consumption Hwy (L/100 km)","Fuel Consumption Comb (L/100 km)","Fuel Consumption Comb (mpg)","CO2 Emissions(g/km)","Date"
"VOLKSWAGEN","Golf","COMPACT","1.4","4","AS8","X","8.1","6.4","7.4","38","172","12/11/2018"
"VOLKSWAGEN","Golf","COMPACT","1.4","4","M6","X","8.2","6.3","7.4","38","172","9/5/2016"
"VOLKSWAGEN","Golf GTI","COMPACT","2","4","AM7","X","9.6","7.5","8.6","33","202","2/3/2013"
"VOLKSWAGEN","Golf GTI","COMPACT","2","4","M6","X","9.8","7.3","8.7","32","203","1/20/2016"
"VOLKSWAGEN","Golf R","COMPACT","2","4","AM7","Z","10.2","7.9","9.2","31","213","12/9/2018"
"VOLKSWAGEN","Golf R","COMPACT","2","4","M6","Z","11.4","8.2","9.9","29","232","10/9/2016"
"VOLKSWAGEN","Golf Alltrack","STATION WAGON - SMALL","1.8","4","AM6","X","10.7","8","9.4","30","220","8/8/2019"
"VOLKSWAGEN","Golf Alltrack","STATION WAGON - SMALL","1.8","4","M6","X","11.1","7.8","9.6","29","225","6/21/2015"
"VOLKSWAGEN","Golf SportWagen","STATION WAGON - SMALL","1.4","4","AS8","X","8.6","6.5","7.6","37","178","1/27/2020"
"VOLKSWAGEN","Golf SportWagen","STATION WAGON - SMALL","1.4","4","M6","X","8.2","6.3","7.4","38","172","7/8/2018"
"VOLKSWAGEN","Golf SportWagen 4MOTION","STATION WAGON - SMALL","1.8","4","AM6","X","10.8","8.1","9.6","29","224","7/23/2017"
"VOLKSWAGEN","Golf SportWagen 4MOTION","STATION WAGON - SMALL","1.8","4","M6","X","10.8","7.6","9.3","30","218","6/8/2020"
"VOLKSWAGEN","Jetta","COMPACT","1.4","4","AS8","X","7.8","5.9","7","40","162","2/28/2013"
"VOLKSWAGEN","Jetta","COMPACT","1.4","4","M6","X","7.9","5.9","7","40","163","12/4/2014"
"VOLKSWAGEN","Jetta GLI","COMPACT","2","4","AM7","X","9.3","7.2","8.4","34","196","10/5/2016"
"VOLKSWAGEN","Jetta GLI","COMPACT","2","4","M6","X","9.6","7.3","8.5","33","200","3/31/2012"
"VOLKSWAGEN","Passat","MID-SIZE","2","4","AS6","X","9.3","6.5","8.1","35","188","12/18/2020"
"VOLKSWAGEN","Tiguan","SUV - SMALL","2","4","AS8","X","10.7","8","9.5","30","221","9/24/2017"
"VOLKSWAGEN","Tiguan 4MOTION","SUV - SMALL","2","4","AS8","X","11.1","8.1","9.8","29","228","5/30/2013"
"VOLVO","S60 T5","COMPACT","2","4","AS8","Z","9.9","6.6","8.4","34","197","10/30/2020"
"VOLVO","S60 T6 AWD","COMPACT","2","4","AS8","Z","11.1","7.3","9.4","30","218","7/24/2018"
"VOLVO","S90 T5 AWD","MID-SIZE","2","4","AS8","Z","10.6","7.4","9.2","31","215","8/28/2020"
"VOLVO","S90 T6 AWD","MID-SIZE","2","4","AS8","Z","11.1","7.3","9.4","30","219","7/21/2017"
"VOLVO","V60 T5","STATION WAGON - SMALL","2","4","AS8","Z","9.9","6.6","8.4","34","197","9/17/2020"
"VOLVO","V60 T6 AWD","STATION WAGON - SMALL","2","4","AS8","Z","11.1","7.3","9.4","30","219","9/29/2017"
"VOLVO","V60 CC T5 AWD","STATION WAGON - SMALL","2","4","AS8","Z","10.8","7.6","9.3","30","218","4/24/2014"
"VOLVO","V90 T6 AWD","STATION WAGON - MID-SIZE","2","4","AS8","Z","11.1","7.3","9.4","30","219","4/29/2015"
"VOLVO","V90 CC T6 AWD","STATION WAGON - MID-SIZE","2","4","AS8","Z","11.6","8.1","10","28","233","2/10/2012"
"VOLVO","XC40 T5 AWD","SUV - SMALL","2","4","AS8","Z","10.3","7.5","9","31","211","3/4/2012"
"VOLVO","XC60 T5 AWD","SUV - SMALL","2","4","AS8","Z","11.3","8.5","10","28","233","5/13/2019"
"VOLVO","XC60 T6 AWD","SUV - SMALL","2","4","AS8","Z","11.8","8.6","10.4","27","242","8/16/2011"
"VOLVO","XC90 T5 AWD","SUV - STANDARD","2","4","AS8","Z","11.3","8.5","10","28","233","6/8/2015"
"VOLVO","XC90 T6 AWD","SUV - STANDARD","2","4","AS8","Z","12.1","8.9","10.7","26","250","4/30/2020"
"ACURA","ILX","COMPACT","2.4","4","AM8","Z","9.9","7","8.6","33","199","6/6/2013"
"ACURA","MDX SH-AWD","SUV - SMALL","3.5","6","AS9","Z","12.3","9.2","10.9","26","254","9/22/2019"
"ACURA","MDX SH-AWD A-SPEC","SUV - SMALL","3.5","6","AS9","Z","12.2","9.5","11","26","258","9/10/2011"
"ACURA","MDX Hybrid AWD","SUV - SMALL","3","6","AM7","Z","9.1","9","9","31","210","5/20/2011"
"ACURA","RDX AWD","SUV - SMALL","2","4","AS10","Z","11","8.6","9.9","29","232","12/16/2020"
"ACURA","RDX AWD A-SPEC","SUV - SMALL","2","4","AS10","Z","11.3","9.1","10.3","27","241","8/28/2015"
"ACURA","RLX Hybrid","MID-SIZE","3.5","6","AM7","Z","8.4","8.2","8.4","34","196","8/25/2019"
"ACURA","TLX A-SPEC","COMPACT","2.4","4","AM8","Z","10.2","7.4","8.9","32","209","1/6/2019"
"ACURA","TLX SH-AWD","COMPACT","3.5","6","AS9","Z","11.4","7.7","9.8","29","228","6/22/2016"
"ACURA","TLX SH-AWD A-SPEC/Limited Edition","COMPACT","3.5","6","AS9","Z","12","8.2","10.3","27","240","9/7/2011"
"ALFA ROMEO","4C Spider","TWO-SEATER","1.8","4","AM6","Z","9.7","6.9","8.4","34","197","11/20/2011"
"ALFA ROMEO","Giulia","MID-SIZE","2","4","A8","Z","10","7.2","8.7","32","205","9/21/2012"
"ALFA ROMEO","Giulia AWD","MID-SIZE","2","4","A8","Z","10.5","7.7","9.2","31","217","1/26/2014"
"ALFA ROMEO","Giulia Quadrifoglio","MID-SIZE","2.9","6","A8","Z","13.5","9.3","11.6","24","271","7/20/2015"
"ALFA ROMEO","Stelvio","SUV - SMALL","2","4","A8","Z","10.3","8.1","9.3","30","218","10/17/2017"
"ALFA ROMEO","Stelvio AWD","SUV - SMALL","2","4","A8","Z","10.8","8.3","9.6","29","226","5/29/2020"
"ALFA ROMEO","Stelvio AWD Quadrifoglio","SUV - SMALL","2.9","6","A8","Z","13.9","10.3","12.3","23","288","5/18/2020"
"ASTON MARTIN","DB11 V8","MINICOMPACT","4","8","A8","Z","13","9.8","11.5","25","271","5/2/2014"
"ASTON MARTIN","DB11 AMR","MINICOMPACT","5.2","12","A8","Z","15.5","10.6","13.3","21","312","2/13/2014"
"ASTON MARTIN","DBS Superleggera","MINICOMPACT","5.2","12","A8","Z","16.4","10.7","13.8","20","324","9/26/2016"
"ASTON MARTIN","Vantage V8","TWO-SEATER","4","8","A8","Z","13.1","9.6","11.5","25","270","3/12/2013"
"ASTON MARTIN","Vantage V8","TWO-SEATER","4","8","M7","Z","16.7","11.2","14.2","20","333","12/13/2013"
"AUDI","A3","SUBCOMPACT","2","4","AM7","X","8.8","6.5","7.8","36","182","5/4/2020"
"AUDI","A3 quattro","SUBCOMPACT","2","4","AM7","X","10.8","8","9.5","30","224","5/10/2017"
"AUDI","A3 Cabriolet quattro","SUBCOMPACT","2","4","AM7","X","10.8","8","9.5","30","224","8/19/2012"
"AUDI","A4 quattro","COMPACT","2","4","AM7","Z","10","7.3","8.8","32","205","10/12/2014"
"AUDI","A4 allroad quattro","STATION WAGON - SMALL","2","4","AM7","Z","10","7.4","8.8","32","206","8/21/2018"
"AUDI","A5 quattro","SUBCOMPACT","2","4","AM7","Z","10","7.3","8.8","32","205","2/21/2018"
"AUDI","A5 Cabriolet quattro","SUBCOMPACT","2","4","AM7","Z","10","7.4","8.8","32","206","11/14/2018"
"AUDI","A5 Sportback quattro","MID-SIZE","2","4","AM7","Z","10","7.3","8.8","32","205","11/15/2013"
"AUDI","A6 quattro","MID-SIZE","2","4","AM7","Z","9.8","7.4","8.7","32","205","7/14/2014"
"AUDI","A6 quattro","MID-SIZE","3","6","AM7","Z","10.9","8.2","9.7","29","226","3/13/2017"
"AUDI","A6 allroad","MID-SIZE","3","6","AM7","Z","11.8","9.1","10.6","27","247","3/26/2019"
"AUDI","A7 quattro","MID-SIZE","3","6","AM7","Z","10.9","8.2","9.7","29","226","3/14/2018"
"AUDI","A8L","FULL-SIZE","3","6","AS8","Z","13.5","8.9","11.5","25","267","12/6/2019"
"AUDI","A8L","FULL-SIZE","4","8","AS8","Z","15.4","10.4","13.2","21","308","7/19/2015"
"AUDI","Q3 quattro","SUV - SMALL","2","4","AS8","X","12.3","8.6","10.6","27","248","1/28/2018"
"AUDI","Q5","SUV - SMALL","2","4","AM7","Z","10.7","8.4","9.7","29","226","10/19/2013"
"AUDI","Q7","SUV - STANDARD","3","6","AS8","Z","13.8","11.4","12.7","22","296","7/25/2014"
"AUDI","Q8","SUV - STANDARD","3","6","AS8","Z","13.8","11.4","12.7","22","296","9/23/2020"
"AUDI","R8 Coupe","TWO-SEATER","5.2","10","AM7","Z","17.5","11.7","14.9","19","347","5/7/2019"
"AUDI","R8 Spyder","TWO-SEATER","5.2","10","AM7","Z","17.5","11.7","14.9","19","347","12/14/2017"
"AUDI","RS 3","SUBCOMPACT","2.5","5","AM7","Z","12.1","8.4","10.4","27","243","11/5/2017"
"AUDI","S3","SUBCOMPACT","2","4","AM7","Z","10.7","8","9.5","30","222","7/29/2012"
"AUDI","S4","COMPACT","3","6","AS8","Z","11.8","8.9","10.5","27","245","11/16/2019"
"AUDI","S5","SUBCOMPACT","3","6","AS8","Z","11.8","8.9","10.5","27","245","3/24/2013"
"AUDI","S5 Cabriolet","SUBCOMPACT","3","6","AS8","Z","12.1","9.1","10.8","26","252","8/14/2017"
"AUDI","S5 Sportback","MID-SIZE","3","6","AS8","Z","11.8","8.9","10.5","27","245","9/30/2020"
"AUDI","S6","MID-SIZE","2.9","6","AS8","Z","12.9","8.5","10.9","26","255","6/20/2019"
"AUDI","S7","MID-SIZE","2.9","6","AS8","Z","12.9","8.5","10.9","26","255","6/6/2012"
"AUDI","S8","FULL-SIZE","4","8","AS8","Z","17.6","10.7","14.5","19","339","1/31/2021"
"AUDI","SQ5","SUV - SMALL","3","6","AS8","Z","13.1","10.3","11.8","24","276","1/6/2016"
"AUDI","TT Coupe quattro","SUBCOMPACT","2","4","AM7","X","10.3","7.7","9.1","31","213","2/20/2021"
"AUDI","TT Roadster quattro","TWO-SEATER","2","4","AM7","X","10.3","7.7","9.1","31","213","12/5/2012"
"AUDI","TT RS","SUBCOMPACT","2.5","5","AM7","Z","12.1","8.2","10.3","27","241","6/4/2011"
"AUDI","TTS Coupe","SUBCOMPACT","2","4","AM7","Z","10.4","8.2","9.4","30","220","7/23/2015"
"BENTLEY","Bentayga","SUV - STANDARD","4","8","AS8","Z","16.4","10.1","13.6","21","315","12/19/2018"
"BENTLEY","Bentayga","SUV - STANDARD","6","12","AS8","Z","20","13.8","17.2","16","401","1/15/2021"
"BENTLEY","Continental GT","COMPACT","4","8","AM8","Z","15.1","9.1","12.4","23","291","4/8/2017"
"BENTLEY","Continental GT","COMPACT","6","12","AM8","Z","19","11.6","15.7","18","364","7/7/2013"
"BENTLEY","Continental GT Convertible","SUBCOMPACT","4","8","AM8","Z","15.1","9.1","12.4","23","291","6/18/2015"
"BENTLEY","Continental GT Convertible","SUBCOMPACT","6","12","AM8","Z","19.2","12.2","16","18","373","3/24/2015"
"BENTLEY","Flying Spur","MID-SIZE","6","12","AM8","Z","19.2","12.2","16","18","373","4/6/2016"
"BMW","230i Cabriolet","SUBCOMPACT","2","4","AS8","Z","10.1","7","8.7","32","204","6/3/2019"
"BMW","230i xDrive Cabriolet","SUBCOMPACT","2","4","AS8","Z","10.9","7.5","9.4","30","219","11/25/2016"
"BMW","230i Coupe","SUBCOMPACT","2","4","AS8","Z","9.5","7.4","8.5","33","200","12/11/2011"
"BMW","230i xDrive Coupe","SUBCOMPACT","2","4","AS8","Z","10.9","7.5","9.4","30","219","2/15/2014"
"BMW","330i xDrive Sedan","COMPACT","2","4","AS8","Z","9.5","6.9","8.3","34","195","1/27/2013"
"BMW","430i xDrive Cabriolet","SUBCOMPACT","2","4","AS8","Z","10.6","7.3","9.1","31","213","12/30/2015"
"BMW","430i Coupe","COMPACT","2","4","AS8","Z","10.1","7","8.7","32","204","7/20/2015"
"BMW","430i xDrive Coupe","COMPACT","2","4","AS8","Z","10.9","7.5","9.4","30","219","6/4/2013"
"BMW","430i xDrive Gran Coupe","COMPACT","2","4","AS8","Z","10.9","7.5","9.4","30","219","10/25/2020"
"BMW","440i xDrive Cabriolet","SUBCOMPACT","3","6","AS8","Z","12.4","8.5","10.7","26","249","3/29/2012"
"BMW","440i Coupe","COMPACT","3","6","AS8","Z","11.4","8.1","9.9","29","231","11/12/2019"
"BMW","440i xDrive Coupe","COMPACT","3","6","AS8","Z","11.4","8.3","10","28","233","10/19/2014"
"BMW","440i xDrive Coupe","COMPACT","3","6","M6","Z","13","8.5","11","26","257","3/22/2012"
"BMW","440i xDrive Gran Coupe","COMPACT","3","6","AS8","Z","11.4","8.3","10","28","233","8/28/2019"
"BMW","530i xDrive Sedan","MID-SIZE","2","4","AS8","Z","9.9","7.5","8.8","32","206","11/9/2020"
"BMW","540i xDrive Sedan","MID-SIZE","3","6","AS8","Z","10.7","8.1","9.5","30","222","10/22/2012"
"BMW","750i xDrive Sedan","FULL-SIZE","4.4","8","AS8","Z","14.5","9.9","12.4","23","290","9/9/2015"
"BMW","750Li xDrive Sedan","FULL-SIZE","4.4","8","AS8","Z","14.5","9.9","12.4","23","290","2/29/2020"
"BMW","Alpina B7 xDrive","FULL-SIZE","4.4","8","AS8","Z","14.5","9.9","12.4","23","290","10/7/2012"
"BMW","M2 Competition","SUBCOMPACT","3","6","AM7","Z","14.1","10.3","12.4","23","290","11/28/2015"
"BMW","M2 Competition","SUBCOMPACT","3","6","M6","Z","13.4","9.6","11.7","24","273","7/9/2015"
"BMW","M240i Cabriolet","SUBCOMPACT","3","6","AS8","Z","11.4","8.1","9.9","29","231","2/19/2015"
"BMW","M240i Cabriolet","SUBCOMPACT","3","6","M6","Z","12.7","8.8","10.9","26","255","2/15/2014"
"BMW","M240i xDrive Cabriolet","SUBCOMPACT","3","6","AS8","Z","11.4","8.3","10","28","233","11/14/2016"
"BMW","M240i Coupe","SUBCOMPACT","3","6","AS8","Z","11.4","8.1","9.9","29","231","7/20/2011"
"BMW","M240i Coupe M Performance","SUBCOMPACT","3","6","AS8","Z","11.4","8.1","9.9","29","231","1/12/2017"
"BMW","M240i Coupe","SUBCOMPACT","3","6","M6","Z","12.7","8.8","10.9","26","255","8/31/2012"
"BMW","M240i Coupe M Performance","SUBCOMPACT","3","6","M6","Z","12.7","8.8","10.9","26","255","1/2/2015"
"BMW","M240i xDrive Coupe","SUBCOMPACT","3","6","AS8","Z","11.4","8.3","10","28","233","4/24/2018"
"BMW","M240i xDrive Coupe M Performance","SUBCOMPACT","3","6","AS8","Z","11.4","8.3","10","28","233","9/11/2018"
"BMW","M340i xDrive Sedan","COMPACT","3","6","AS8","Z","11.4","8.3","10","28","233","6/3/2020"
"BMW","M4 Cabriolet","SUBCOMPACT","3","6","AM7","Z","14.5","10.5","12.7","22","299","9/2/2020"
"BMW","M4 Cabriolet Competition","SUBCOMPACT","3","6","AM7","Z","14.5","10.5","12.7","22","299","8/29/2019"
"BMW","M4 Cabriolet","SUBCOMPACT","3","6","M6","Z","13.8","9.4","11.9","24","280","11/17/2014"
"BMW","M4 Cabriolet Competition","SUBCOMPACT","3","6","M6","Z","13.8","9.4","11.9","24","280","5/5/2011"
"BMW","M4 Coupe","COMPACT","3","6","AM7","Z","14.1","10.3","12.4","23","290","2/1/2019"
"BMW","M4 Coupe Competition","COMPACT","3","6","AM7","Z","14.1","10.3","12.4","23","290","9/1/2017"
"BMW","M4 Coupe","COMPACT","3","6","M6","Z","13.4","9.6","11.7","24","273","5/10/2016"
"BMW","M4 Coupe Competition","COMPACT","3","6","M6","Z","13.4","9.6","11.7","24","273","5/2/2021"
"BMW","M4 CS","COMPACT","3","6","AM7","Z","14.1","10.3","12.4","23","290","4/26/2020"
"BMW","M5 Sedan","MID-SIZE","4.4","8","AS8","Z","16","11","13.8","20","322","7/2/2019"
"BMW","M5 Competition","MID-SIZE","4.4","8","AS8","Z","16","11","13.8","20","322","7/3/2012"
"BMW","M550i xDrive Sedan","MID-SIZE","4.4","8","AS8","Z","13.6","9.3","11.7","24","273","9/25/2017"
"BMW","M760i xDrive Sedan","FULL-SIZE","6.6","12","AS8","Z","17.8","11.9","15.1","19","354","12/4/2020"
"BMW","M8 Cabriolet","SUBCOMPACT","4.4","8","AS8","Z","16","11","13.8","20","322","1/29/2012"
"BMW","M8 Cabriolet Competition","SUBCOMPACT","4.4","8","AS8","Z","16","11","13.8","20","322","12/16/2018"
"BMW","M8 Coupe","SUBCOMPACT","4.4","8","AS8","Z","16","11","13.8","20","322","12/16/2020"
"BMW","M8 Coupe Competition","SUBCOMPACT","4.4","8","AS8","Z","16","11","13.8","20","322","11/19/2020"
"BMW","M8 Gran Coupe","MID-SIZE","4.4","8","AS8","Z","16","11","13.8","20","322","4/4/2013"
"BMW","M8 Gran Coupe Competition","MID-SIZE","4.4","8","AS8","Z","16","11","13.8","20","322","2/10/2012"
"BMW","M850i xDrive Cabriolet","SUBCOMPACT","4.4","8","AS8","Z","14.5","9.9","12.4","23","290","10/11/2012"
"BMW","M850i xDrive Coupe","SUBCOMPACT","4.4","8","AS8","Z","13.6","9.3","11.7","24","273","9/14/2018"
"BMW","M850i xDrive Gran Coupe","MID-SIZE","4.4","8","AS8","Z","14.5","9.9","12.4","23","290","6/12/2011"
"BMW","X1 xDrive28i","SUV - SMALL","2","4","AS8","Z","10.3","7.7","9.1","31","213","9/13/2016"
"BMW","X2 xDrive28i","SUV - SMALL","2","4","AS8","Z","9.9","7.6","8.8","32","207","11/27/2017"
"BMW","X2 M35i","SUV - SMALL","2","4","AS8","Z","10","7.8","9","31","210","6/5/2016"
"BMW","X3 xDrive30i","SUV - SMALL","2","4","AS8","Z","10","8.2","9.2","31","215","4/6/2014"
"BMW","X3 M","SUV - SMALL","3","6","AS8","Z","16.6","12.1","14.6","19","339","6/22/2016"
"BMW","X3 M Competition","SUV - SMALL","3","6","AS8","Z","16.6","12.1","14.6","19","339","5/4/2014"
"BMW","X3 M40i","SUV - SMALL","3","6","AS8","Z","11.3","8.7","10.1","28","235","1/13/2017"
"BMW","X4 xDrive30i","SUV - SMALL","2","4","AS8","Z","10","8.2","9.2","31","215","11/4/2011"
"BMW","X4 M","SUV - SMALL","3","6","AS8","Z","16.6","12.1","14.6","19","339","4/12/2016"
"BMW","X4 M Competition","SUV - SMALL","3","6","AS8","Z","16.6","12.1","14.6","19","339","12/12/2015"
"BMW","X4 M40i","SUV - SMALL","3","6","AS8","Z","11.3","8.7","10.1","28","235","11/4/2017"
"BMW","X5 xDrive40i","SUV - STANDARD","3","6","AS8","Z","11.7","9.1","10.5","27","245","6/28/2014"
"BMW","X5 xDrive50i","SUV - STANDARD","4.4","8","AS8","Z","14.5","10.7","12.8","22","302","11/28/2014"
"BMW","X5 M50i","SUV - STANDARD","4.4","8","AS8","Z","14.5","10.7","12.8","22","302","12/27/2013"
"BMW","X6 xDrive40i","SUV - STANDARD","3","6","AS8","Z","11.7","9.1","10.5","27","245","10/9/2016"
"BMW","X6 M50i","SUV - STANDARD","4.4","8","AS8","Z","14.5","10.7","12.8","22","302","12/25/2020"
"BMW","X7 xDrive40i","SUV - STANDARD","3","6","AS8","Z","12","9.4","10.8","26","254","10/12/2019"
"BMW","X7 xDrive50i","SUV - STANDARD","4.4","8","AS8","Z","15.5","11.4","13.6","21","318","7/26/2017"
"BMW","X7 M50i","SUV - STANDARD","4.4","8","AS8","Z","15.5","11.4","13.6","21","318","8/16/2012"
"BMW","Z4 sDrive30i","TWO-SEATER","2","4","AS8","Z","9.5","7.4","8.5","33","200","7/25/2017"
"BMW","Z4 M40i","TWO-SEATER","3","6","AS8","Z","10.3","8","9.3","30","216","12/28/2017"
"BUGATTI","Chiron","TWO-SEATER","8","16","AM7","Z","26.8","16.6","22.2","13","522","6/6/2019"
"BUICK","Enclave","SUV - STANDARD","3.6","6","A9","X","13","9.1","11.2","25","263","9/23/2014"
"BUICK","Enclave AWD","SUV - STANDARD","3.6","6","A9","X","13.6","9.6","11.8","24","277","1/17/2019"
"BUICK","Encore","SUV - SMALL","1.4","4","AS6","X","9.4","7.8","8.7","32","204","6/29/2011"
"BUICK","Encore AWD","SUV - SMALL","1.4","4","AS6","X","10","8","9.1","31","214","7/14/2011"
"BUICK","Encore GX","SUV - SMALL","1.2","3","AV","X","9","7.7","8.4","34","198","4/6/2017"
"BUICK","Encore GX AWD","SUV - SMALL","1.3","3","A9","X","9","8","8.5","33","199","9/12/2016"
"BUICK","Envision AWD","SUV - SMALL","2","4","A9","Z","11.7","9.4","10.7","26","250","12/25/2018"
"BUICK","Envision AWD","SUV - SMALL","2.5","4","A6","X","11.1","8.6","10","28","234","10/17/2011"
"BUICK","Regal","MID-SIZE","2","4","AS9","Z","10.3","7.4","9","31","211","12/22/2013"
"BUICK","Regal AWD","MID-SIZE","2","4","AS8","Z","11","8","9.6","29","227","4/2/2020"
"BUICK","Regal AWD","MID-SIZE","3.6","6","AS9","X","12.5","8.8","10.9","26","255","3/2/2016"
"CADILLAC","CT4","COMPACT","2","4","AS8","Z","10.1","6.8","8.7","32","203","4/13/2020"
"CADILLAC","CT4","COMPACT","2.7","4","AS10","Z","11.5","8","9.9","29","232","7/3/2017"
"CADILLAC","CT4 AWD","COMPACT","2","4","AS8","Z","10.4","7.4","9.1","31","213","4/30/2018"
"CADILLAC","CT4 AWD","COMPACT","2.7","4","AS10","Z","11.7","8.4","10.2","28","238","3/20/2017"
"CADILLAC","CT4-V","COMPACT","2.7","4","AS10","Z","11.5","8.2","10","28","234","4/10/2012"
"CADILLAC","CT4-V AWD","COMPACT","2.7","4","AS10","Z","11.7","8.4","10.2","28","238","3/11/2017"
"CADILLAC","CT5","MID-SIZE","2","4","AS10","Z","10.4","7.3","9","31","209","1/30/2018"
"CADILLAC","CT5","MID-SIZE","3","6","AS10","Z","12.6","9.1","11","26","256","1/27/2020"
"CADILLAC","CT5 AWD","MID-SIZE","2","4","AS10","Z","11","7.7","9.5","30","221","10/22/2018"
"CADILLAC","CT5 AWD","MID-SIZE","3","6","AS10","Z","13.3","9.3","11.5","25","268","1/28/2021"
"CADILLAC","CT5-V","MID-SIZE","3","6","AS10","Z","13.1","9.1","11.3","25","263","9/23/2019"
"CADILLAC","CT5-V AWD","MID-SIZE","3","6","AS10","Z","13.8","9.4","11.8","24","276","7/13/2020"
"CADILLAC","CT6 AWD","FULL-SIZE","3.6","6","AS10","X","12.9","8.7","11","26","259","9/19/2013"
"CADILLAC","CT6 AWD","FULL-SIZE","4.2","8","AS10","Z","17.3","9.5","13.8","20","324","8/20/2015"
"CADILLAC","Escalade 4WD","SUV - STANDARD","6.2","8","A10","Z","16.7","11.1","14.2","20","333","10/14/2018"
"CADILLAC","XT4","SUV - SMALL","2","4","AS9","Z","9.8","7.8","8.9","32","209","7/26/2018"
"CADILLAC","XT4 AWD","SUV - SMALL","2","4","AS9","Z","10.9","8.2","9.7","29","227","12/13/2019"
"CADILLAC","XT5","SUV - SMALL","2","4","AS9","Z","11","8.3","9.8","29","227","5/1/2021"
"CADILLAC","XT5 AWD","SUV - SMALL","2","4","AS9","Z","11.2","8.9","10.1","28","235","3/9/2019"
"CADILLAC","XT5 AWD","SUV - SMALL","3.6","6","AS9","X","13.4","9.4","11.6","24","270","8/2/2021"
"CADILLAC","XT6 AWD","SUV - SMALL","3.6","6","AS9","X","13.5","9.7","11.8","24","277","3/16/2019"
"CHEVROLET","Blazer","SUV - SMALL","2","4","A9","X","11","8.3","9.8","29","225","9/10/2012"
"CHEVROLET","Blazer","SUV - SMALL","2.5","4","A9","X","11.3","8.9","10.2","28","238","7/8/2016"
"CHEVROLET","Blazer AWD","SUV - SMALL","2","4","A9","X","11.3","8.7","10.1","28","232","11/4/2021"
"CHEVROLET","Blazer AWD","SUV - SMALL","3.6","6","A9","X","13.1","9.4","11.4","25","269","8/18/2013"
"CHEVROLET","Camaro","SUBCOMPACT","2","4","AS8","Z","10.9","7.6","9.4","30","219","5/19/2015"
"CHEVROLET","Camaro","SUBCOMPACT","2","4","M6","Z","11.9","7.9","10.1","28","235","9/24/2014"
"CHEVROLET","Camaro","SUBCOMPACT","3.6","6","AS10","X","12.5","8.1","10.5","27","247","12/26/2013"
"CHEVROLET","Camaro","SUBCOMPACT","3.6","6","M6","X","14.3","9","11.9","24","280","9/9/2018"
"CHEVROLET","Camaro SS","SUBCOMPACT","6.2","8","AS10","Z","14.6","8.9","12.1","23","282","3/1/2014"
"CHEVROLET","Camaro SS","SUBCOMPACT","6.2","8","M6","Z","14.9","9.9","12.6","22","296","6/18/2012"
"CHEVROLET","Camaro ZL1","SUBCOMPACT","6.2","8","AS10","Z","18.3","11.2","15.1","19","355","4/7/2017"
"CHEVROLET","Camaro ZL1","SUBCOMPACT","6.2","8","M6","Z","17.2","12","14.8","19","349","11/16/2020"
"CHEVROLET","Colorado","PICKUP TRUCK - SMALL","2.5","4","A6","X","12.1","9.2","10.8","26","252","2/21/2016"
"CHEVROLET","Colorado","PICKUP TRUCK - SMALL","2.8","4","A6","D","11.8","7.9","10.1","28","270","2/4/2020"
"CHEVROLET","Colorado","PICKUP TRUCK - SMALL","3.6","6","A8","X","13.4","9.6","11.7","24","273","8/14/2015"
"CHEVROLET","Colorado 4WD","PICKUP TRUCK - SMALL","2.5","4","A6","X","12.6","9.7","11.3","25","265","6/5/2013"
"CHEVROLET","Colorado 4WD","PICKUP TRUCK - SMALL","2.8","4","A6","D","12.3","8.5","10.6","27","284","10/4/2017"
"CHEVROLET","Colorado 4WD","PICKUP TRUCK - SMALL","3.6","6","A8","X","14","9.9","12.2","23","286","4/27/2013"
"CHEVROLET","Colorado ZR2 4WD","PICKUP TRUCK - SMALL","2.8","4","A6","D","13.3","10.6","12.1","23","326","12/20/2017"
"CHEVROLET","Colorado ZR2 4WD","PICKUP TRUCK - SMALL","3.6","6","A8","X","15","13","14.1","20","331","10/18/2019"
"CHEVROLET","Corvette","TWO-SEATER","6.2","8","AS8","Z","15.4","8.7","12.4","23","290","5/15/2017"
"CHEVROLET","Equinox","SUV - SMALL","1.5","4","A6","X","8.9","7.7","8.4","34","196","10/7/2011"
"CHEVROLET","Equinox AWD","SUV - SMALL","1.5","4","A6","X","9.3","8","8.7","32","204","5/7/2011"
"CHEVROLET","Equinox AWD","SUV - SMALL","2","4","A9","Z","10.9","8.3","9.7","29","228","9/23/2011"
"CHEVROLET","Impala","FULL-SIZE","3.6","6","AS6","X","12.8","8.5","10.9","26","255","7/26/2015"
"CHEVROLET","Impala","FULL-SIZE","3.6","6","AS6","E","17.2","11.6","14.7","19","246","10/12/2020"
"CHEVROLET","Malibu","MID-SIZE","1.5","4","AV","X","8.2","6.6","7.5","38","189","5/10/2012"
"CHEVROLET","Malibu","MID-SIZE","2","4","A9","Z","10.5","7.4","9.1","31","214","9/7/2012"
"CHEVROLET","Silverado","PICKUP TRUCK - STANDARD","2.7","4","A8","X","11.9","10.3","11.1","25","262","1/5/2011"
"CHEVROLET","Silverado WT","PICKUP TRUCK - STANDARD","2.7","4","A8","X","12.5","10.8","11.7","24","275","2/28/2020"
"CHEVROLET","Silverado","PICKUP TRUCK - STANDARD","3","6","A10","D","10.2","7.2","8.9","32","238","1/1/2021"
